id_censo,fuente,tipo_caso,perna02_r,perna02_r_imp,ci,docextpais,docexttipo,docextnro,primer_nombre,segundo_nombre,primer_apellido,segundo_apellido,fecha_nacimiento,id_sexo
CEN000020,censo2023,A,UY,UY,47487568,,,,ELISA,AGUSTINA,SILVA,,1971-05-19,2
CEN000021,censo2023,A,UY,UY,32289779,,,,MICAELA,CARLOS,ALONSO,,1979-10-18,2
CEN000022,censo2023,A,UY,UY,40180048,,,,JOAQUIN,DAMIAN,,,1997-12-16,1
CEN000023,censo2023,A,UY,UY,51073864,,,,MATEO,ELENA,MENDES,,1954-12-21,1
CEN000024,censo2023,A,UY,UY,49239275,,,,FACUNDO,JAVIER,GOMEZ,,1981-06-14,1
CEN000025,censo2023,A,UY,UY,55189398,,,,NICOLAS,EZEQUIEL,,,1972-09-11,1
CEN000026,censo2023,A,VE,VE,,862,PAS,E575004,RUBEN,BELEN,PEREZ,,1976-06-17,1
CEN000027,censo2023,B,UY,UY,41709313,,,,JULIETA,CARLOS,GOMEZ,,1989-05-01,
CEN000028,censo2023,A,UY,UY,56120831,,,,CARLA,,,LOPEZ,1971-08-06,2
CEN000029,censo2023,A,UY,UY,,,,,THIAGO,PAULA,RAMIREZ,,1955-01-30,1
CEN000030,censo2023,C,UY,UY,45303649,,,,PEDRO,,PEREIRA,,1969-02-02,1
CEN000031,censo2023,A,AR,AR,,032,PAS,A285907,CARLA,LUIS,,,1983-07-29,2
CEN000032,censo2023,A,UY,UY,52640442,,,,ANDRES,,CORREA,RUIZ,1961-07-08,1
CEN000033,censo2023,A,UY,UY,36143960,,,,ELISA,BEATRIZ,ACOSTA,LOPEZ,1979-01-19,2
CEN000034,censo2023,A,UY,UY,38417468,,,,MARIA,LUIS,VELAZQUEZ,,1950-05-14,2
CEN000035,censo2023,B,UY,UY,36567825,,,,INES,PAULA,,RAMIREZ,1989-10-24,2
CEN000036,censo2023,C,UY,UY,56476369,,,,MARIA,LUIS,BENITEZ,,,2
CEN000037,censo2023,A,UY,UY,30779367,,,,MARTINA,ANDREA,PEREZ,,1968-01-05,2
CEN000038,censo2023,B,BR,BR,,076,PAS,R017238,ANA,ELENA,SUAREZ,,1970-04-02,2
CEN000039,censo2023,A,UY,UY,57854867,,,,SANTIAGO,EZEQUIEL,LOPEZ,LOPEZ,1969-04-02,1
CEN000040,censo2023,A,UY,UY,55457480,,,,JUAN,PAULA,RUIZ,PEREZ,2004-08-08,
CEN000041,censo2023,A,UY,UY,39296223,,,,GONZALO,,MENDES,,1950-03-11,1
CEN000042,censo2023,B,UY,UY,33195533,,,,FACUNDO,INES,,,1981-11-27,1
CEN000043,censo2023,B,AR,AR,,032,PAS,R034438,SANTIAGO,INES,MENDES,,1967-06-12,1
CEN000044,censo2023,A,UY,UY,39851077,,,,NICOLAS,BEATRIZ,PEREIRA,,1980-03-02,1
CEN000045,censo2023,A,UY,UY,55856074,,,,RUBEN,ALEJANDRO,LOPEZ,,1983-12-15,1
CEN000046,censo2023,A,UY,UY,38164679,,,,SEBASTIAN,DAMIAN,SILVA,,1950-01-02,1
CEN000047,censo2023,A,UY,UY,40669875,,,,LAURA,,,,1971-04-18,2
CEN000048,censo2023,C,UY,UY,42226844,,,,SOFIA,JAVIER,BENITEZ,,1969-02-26,2
CEN000049,censo2023,B,VE,VE,,862,PAS,E137049,MICAELA,INES,FERNANDEZ,ALONSO,1959-12-28,2
CEN000050,censo2023,A,UY,UY,59441986,,,,DIEGO,CARLOS,MARTINEZ,GOMEZ,2000-04-04,1
CEN000051,censo2023,C,UY,UY,48690532,,,,ANA,,RODRIGUEZ,,1995-04-03,2
CEN000052,censo2023,B,UY,UY,30177685,,,,SOFIA,MAR,TORRES,DIAZ,1957-03-01,2
CEN000053,censo2023,A,VE,VE,,862,PAS,E513044,FACUNDO,ANDREA,,,1955-01-27,1
CEN000054,censo2023,A,UY,UY,35398262,,,,PEDRO,,CORREA,,,1
CEN000055,censo2023,B,VE,VE,,862,DNI,V746257,MATEO,ANDREA,VELAZQUEZ,,1995-08-08,1
CEN000056,censo2023,C,UY,UY,36900008,,,,JULIETA,LUIS,,,1996-01-13,2
CEN000057,censo2023,B,UY,UY,48162638,,,,ELISA,AGUSTINA,RUIZ,,1975-07-27,2
CEN000058,censo2023,A,UY,UY,48839734,,,,JOAQUIN,CARLOS,CORREA,,1985-08-04,1
CEN000059,censo2023,A,UY,UY,37318903,,,,SANTIAGO,PAULA,RUIZ,,1990-12-03,1
CEN000060,censo2023,A,UY,UY,48932464,,,,FLORENCIA,BEATRIZ,FERNANDEZ,RODRIGUEZ,1997-10-07,2
CEN000061,censo2023,A,UY,UY,50992431,,,,RUBEN,PAULA,RAMIREZ,,2003-02-23,1
CEN000062,censo2023,A,UY,UY,34509020,,,,SANTIAGO,PAULA,,,1976-07-09,1
CEN000063,censo2023,C,PY,PY,,600,PAS,Y320812,THIAGO,,VELAZQUEZ,PEREIRA,1983-05-06,1
CEN000064,censo2023,A,UY,UY,52897748,,,,FLORENCIA,NOELIA,RODRIGUEZ,,2003-05-11,2
CEN000065,censo2023,B,BR,BR,,076,PAS,B749527,FACUNDO,CARLOS,,PEREZ,1990-03-28,1
CEN000066,censo2023,C,UY,UY,35138132,,,,RUBEN,,SILVA,,2004-07-21,1
CEN000067,censo2023,B,UY,UY,31003733,,,,ANDRES,DAMIAN,,,1988-03-16,1
CEN000068,censo2023,A,UY,UY,56379070,,,,RUBEN,ELENA,PEREZ,,1953-09-10,1
CEN000069,censo2023,A,UY,UY,33121291,,,,JULIETA,DAMIAN,,CORREA,1995-08-14,2
CEN000070,censo2023,C,UY,UY,48269169,,,,PEDRO,ELENA,BENITEZ,PEREIRA,1973-08-19,1
CEN000071,censo2023,B,UY,UY,,,,,JULIETA,NOELIA,RAMIREZ,PEREZ,1968-11-03,2
CEN000072,censo2023,A,UY,UY,42175880,,,,CARLA,DAMIAN,RUIZ,,,2
CEN000073,censo2023,B,UY,UY,34978275,,,,SOFIA,PAULA,RAMIREZ,,1953-03-09,
CEN000074,censo2023,A,UY,UY,35316480,,,,MARTINA,BELEN,VELAZQUEZ,,,2
CEN000075,censo2023,B,PY,PY,,600,PAS,Y066205,NICOLAS,BELEN,TORRES,,2000-02-29,1
CEN000076,censo2023,B,UY,UY,34131820,,,,GONZALO,EZEQUIEL,GOMEZ,,1989-01-03,1
CEN000077,censo2023,A,UY,UY,46809610,,,,SANTIAGO,NOELIA,,,1985-10-07,1
CEN000078,censo2023,A,AR,AR,,032,DNI,A046981,SANTIAGO,LUIS,,,1993-05-28,1
CEN000079,censo2023,A,UY,UY,,,,,THIAGO,MAR,RAMIREZ,,1959-07-31,1
CEN000080,censo2023,A,UY,UY,48573549,,,,ELISA,INES,FERNANDEZ,,1988-05-23,2
CEN000081,censo2023,B,AR,AR,,032,DNI,R680633,RUBEN,PAULA,FERNANDEZ,,1995-01-06,1
CEN000082,censo2023,C,UY,UY,36879570,,,,VALENTINA,PAULA,ALONSO,,1959-01-11,2
CEN000083,censo2023,C,UY,UY,38948219,,,,PAOLA,MAR,,ALONSO,1960-11-26,2
CEN000084,censo2023,A,UY,UY,56333224,,,,INES,ALEJANDRO,,,1992-10-15,2
CEN000085,censo2023,C,VE,VE,,862,PAS,V874426,MATEO,,FERNANDEZ,,1998-09-14,1
CEN000086,censo2023,A,UY,UY,43647613,,,,MICAELA,BEATRIZ,ACOSTA,,1955-06-30,2
CEN000087,censo2023,A,UY,UY,33885885,,,,MARIA,JAVIER,TORRES,,1950-03-13,2
CEN000088,censo2023,B,VE,VE,,862,DNI,V276744,SOFIA,CARLOS,VELAZQUEZ,,1964-08-25,2
CEN000089,censo2023,A,BR,BR,,076,PAS,R442273,MICAELA,,LOPEZ,,2002-08-14,2
CEN000090,censo2023,A,VE,VE,,862,DNI,E586269,MARTINA,,ALONSO,RUIZ,1966-10-13,2
CEN000091,censo2023,A,UY,UY,46076657,,,,MATEO,BELEN,RUIZ,,1963-10-04,
CEN000092,censo2023,B,UY,UY,32920479,,,,ELISA,NOELIA,MARTINEZ,,1975-06-01,2
CEN000093,censo2023,B,UY,UY,53826065,,,,MATEO,MAR,MARTINEZ,,1956-03-24,1
CEN000094,censo2023,C,UY,UY,58171103,,,,VALENTINA,LUIS,ALONSO,,1987-04-16,2
CEN000095,censo2023,A,UY,UY,31369088,,,,ANA,DAMIAN,,,1968-07-27,2
CEN000096,censo2023,A,UY,UY,49113959,,,,JULIETA,MAR,GOMEZ,,1982-11-05,2
CEN000097,censo2023,C,UY,UY,38722141,,,,ANA,BELEN,VELAZQUEZ,LOPEZ,1995-01-21,
CEN000098,censo2023,A,UY,UY,47943056,,,,SANTIAGO,,BENITEZ,,1992-12-27,1
CEN000099,censo2023,A,VE,VE,,862,PAS,E377927,ANDRES,ALEJANDRO,,,1984-06-20,1
CEN000100,censo2023,A,UY,UY,46023453,,,,LEONARDO,INES,DIAZ,,1980-06-24,1
CEN000101,censo2023,A,UY,UY,51063059,,,,ANA,PAULA,,,1962-07-27,2
CEN000102,censo2023,A,UY,UY,54937937,,,,SANTIAGO,,,,2001-03-15,1
CEN000103,censo2023,C,UY,UY,44681711,,,,ANDRES,NOELIA,SUAREZ,,1980-10-08,1
CEN000104,censo2023,C,UY,UY,59245491,,,,MATEO,JAVIER,RAMIREZ,DIAZ,1960-08-21,1
CEN000105,censo2023,B,BR,BR,,076,DNI,R135817,INES,,,,1960-10-25,2
CEN000106,censo2023,B,AR,AR,,032,DNI,A408001,FACUNDO,ELENA,,,1963-01-19,1
CEN000107,censo2023,C,UY,UY,39227742,,,,MARTIN,JAVIER,TORRES,,1955-11-20,1
CEN000108,censo2023,A,UY,UY,46060705,,,,INES,DAMIAN,RUIZ,,,2
CEN000109,censo2023,A,UY,UY,,,,,NICOLAS,,FERNANDEZ,PEREZ,1950-07-28,1
CEN000110,censo2023,A,UY,UY,38489235,,,,NICOLAS,ELENA,,BENITEZ,2001-04-12,1
CEN000111,censo2023,C,UY,UY,37803867,,,,VALENTINA,ANDREA,SILVA,,,2
CEN000112,censo2023,B,UY,UY,35910540,,,,FACUNDO,ALEJANDRO,MARTINEZ,,2003-12-26,1
CEN000113,censo2023,A,BR,BR,,076,PAS,R606851,RUBEN,,MARTINEZ,,2001-12-11,1
CEN000114,censo2023,C,UY,UY,57321918,,,,NICOLAS,,RUIZ,,1988-03-09,1
CEN000115,censo2023,A,UY,UY,42571323,,,,MARIA,,CORREA,,1985-08-17,2
CEN000116,censo2023,A,UY,UY,39873211,,,,JOAQUIN,CARLOS,RAMIREZ,,,1
CEN000117,censo2023,C,UY,UY,35224979,,,,FACUNDO,JAVIER,RODRIGUEZ,,1985-12-16,1
CEN000118,censo2023,A,AR,AR,,032,DNI,A367544,PAOLA,BELEN,,,1954-09-13,2
CEN000119,censo2023,B,BR,BR,,076,PAS,R430290,VALENTINA,INES,,RODRIGUEZ,1997-03-30,2
CEN000120,censo2023,A,VE,VE,,862,PAS,E632294,MARIA,ELENA,LOPEZ,,1977-04-19,2
CEN000121,censo2023,C,UY,UY,49018214,,,,PEDRO,,GOMEZ,,1997-06-28,1
CEN000122,censo2023,C,VE,VE,,862,DNI,E708690,SOFIA,ANDREA,CORREA,,1958-08-17,2
CEN000123,censo2023,A,UY,UY,33020618,,,,SOFIA,ALEJANDRO,,,1960-06-12,2
CEN000124,censo2023,A,PY,PY,,600,DNI,Y368598,THIAGO,PAULA,PEREIRA,,1957-06-27,1
CEN000125,censo2023,A,UY,UY,31284221,,,,CARLA,AGUSTINA,TORRES,,1974-01-02,2
CEN000126,censo2023,B,UY,UY,40871045,,,,JOAQUIN,MAR,PEREZ,,1999-11-26,1
CEN000127,censo2023,A,AR,AR,,032,DNI,R972103,JOAQUIN,ALEJANDRO,MENDES,,1973-11-05,1
CEN000128,censo2023,C,AR,AR,,032,DNI,R997954,CARLA,EZEQUIEL,SUAREZ,,1951-01-04,2
CEN000129,censo2023,A,UY,UY,37947948,,,,NICOLAS,JAVIER,ACOSTA,,1951-01-23,1
CEN000130,censo2023,B,UY,UY,40202126,,,,SOFIA,DAMIAN,,,1961-11-06,2
CEN000131,censo2023,C,UY,UY,56826327,,,,ANDRES,MAR,,,1996-11-29,1
CEN000132,censo2023,C,UY,UY,39840134,,,,SANTIAGO,DAMIAN,LOPEZ,,,1
CEN000133,censo2023,A,UY,UY,33020258,,,,THIAGO,EZEQUIEL,SUAREZ,,1983-11-09,1
CEN000134,censo2023,A,VE,VE,,862,PAS,E050868,THIAGO,LUIS,ACOSTA,,1954-08-29,1
CEN000135,censo2023,A,UY,UY,54566736,,,,RUBEN,JAVIER,,DIAZ,1998-04-11,1
CEN000136,censo2023,A,AR,AR,,032,PAS,A806769,MICAELA,,,,,
CEN000137,censo2023,A,UY,UY,,,,,MATEO,BELEN,PEREIRA,SOSA,1963-11-24,1
CEN000138,censo2023,A,AR,AR,,032,PAS,R466708,PEDRO,,,RODRIGUEZ,1983-12-14,1
CEN000139,censo2023,B,UY,UY,43061310,,,,ANDRES,CARLOS,,,2002-12-07,1
CEN000140,censo2023,B,UY,UY,51109239,,,,FACUNDO,DAMIAN,,,2002-07-17,1
CEN000141,censo2023,A,AR,AR,,032,DNI,R023681,JOAQUIN,CARLOS,FERNANDEZ,ACOSTA,1987-03-21,1
CEN000142,censo2023,A,UY,UY,34213747,,,,ANDRES,AGUSTINA,PEREZ,,1979-08-08,1
CEN000143,censo2023,A,UY,UY,38344556,,,,MATEO,AGUSTINA,,,1978-11-01,1
CEN000144,censo2023,B,UY,UY,,,,,DIEGO,BELEN,RUIZ,SILVA,1959-02-02,1
CEN000145,censo2023,A,UY,UY,56349175,,,,RUBEN,PAULA,,,1966-11-22,1
CEN000146,censo2023,B,UY,UY,34924998,,,,MARIA,BELEN,SILVA,,1983-11-03,2
CEN000147,censo2023,B,UY,UY,46585525,,,,MICAELA,,VELAZQUEZ,PEREZ,1981-05-06,2
CEN000148,censo2023,A,AR,AR,,032,PAS,A329771,JUAN,EZEQUIEL,CORREA,,1984-05-07,1
CEN000149,censo2023,A,AR,AR,,032,DNI,A363305,MATEO,BELEN,SOSA,,2003-01-16,1
CEN000150,censo2023,B,UY,UY,36642092,,,,MICAELA,BELEN,PEREZ,,1950-10-21,2
CEN000151,censo2023,A,UY,UY,,,,,NOELIA,DAMIAN,BENITEZ,,1955-01-17,2
CEN000152,censo2023,A,PY,PY,,600,DNI,P666958,SEBASTIAN,DAMIAN,RODRIGUEZ,,1991-08-07,1
CEN000153,censo2023,A,UY,UY,58846718,,,,JOAQUIN,,FERNANDEZ,,1978-03-04,1
CEN000154,censo2023,A,UY,UY,48083275,,,,RUBEN,PAULA,,,1981-10-28,1
CEN000155,censo2023,C,AR,AR,,032,DNI,R716343,MICAELA,ANDREA,MARTINEZ,,2005-02-22,2
CEN000156,censo2023,A,UY,UY,39477279,,,,MATEO,BEATRIZ,ACOSTA,TORRES,1977-05-10,1
CEN000157,censo2023,A,PY,PY,,600,PAS,Y858040,NICOLAS,ELENA,CORREA,LOPEZ,1983-09-24,1
CEN000158,censo2023,B,UY,UY,57136613,,,,RUBEN,CARLOS,,,1980-08-26,1
CEN000159,censo2023,A,BR,BR,,076,DNI,B921390,LUCIA,,DIAZ,,1974-07-17,2
CEN000160,censo2023,C,UY,UY,37727327,,,,ANA,AGUSTINA,ACOSTA,,1951-12-05,2
CEN000161,censo2023,A,UY,UY,47531156,,,,NOELIA,,ACOSTA,LOPEZ,1959-12-23,2
CEN000162,censo2023,C,UY,UY,45527053,,,,INES,,RUIZ,,1996-05-25,2
CEN000163,censo2023,A,UY,UY,55106028,,,,RUBEN,PAULA,TORRES,,1983-04-03,1
CEN000164,censo2023,C,UY,UY,35821774,,,,SEBASTIAN,AGUSTINA,SOSA,,2001-04-02,1
CEN000165,censo2023,B,BR,BR,,076,DNI,B082428,FACUNDO,BEATRIZ,MENDES,,1982-11-15,1
CEN000166,censo2023,A,PY,PY,,600,PAS,P026397,FLORENCIA,CARLOS,FERNANDEZ,,2002-04-10,2
CEN000167,censo2023,A,UY,UY,31918279,,,,MARIA,ALEJANDRO,TORRES,,1961-01-05,2
CEN000168,censo2023,A,VE,VE,,862,DNI,E737579,FACUNDO,INES,TORRES,,1953-04-28,1
CEN000169,censo2023,A,UY,UY,59184112,,,,THIAGO,JAVIER,BENITEZ,,1956-09-08,1
CEN000170,censo2023,B,UY,UY,38544142,,,,JUAN,INES,,SILVA,1960-12-05,1
CEN000171,censo2023,B,UY,UY,40143612,,,,PEDRO,,MARTINEZ,,1991-08-12,1
CEN000172,censo2023,C,UY,UY,,,,,LEONARDO,BELEN,,,1984-01-03,1
CEN000173,censo2023,C,UY,UY,40344510,,,,JULIETA,BEATRIZ,,,1988-02-19,2
CEN000174,censo2023,A,UY,UY,59839760,,,,MICAELA,ANDREA,LOPEZ,,1973-04-21,2
CEN000175,censo2023,A,AR,AR,,032,PAS,A159167,PAOLA,EZEQUIEL,,,1957-04-18,2
CEN000176,censo2023,B,UY,UY,47766519,,,,NOELIA,LUIS,BENITEZ,,1997-10-02,2
CEN000177,censo2023,A,UY,UY,43462103,,,,LUCIA,INES,LOPEZ,RAMIREZ,1987-10-07,2
CEN000178,censo2023,A,UY,UY,41007685,,,,LUCIA,,GOMEZ,,,2
CEN000179,censo2023,B,UY,UY,42025482,,,,JULIETA,AGUSTINA,TORRES,,1986-05-13,2
CEN000180,censo2023,A,AR,AR,,032,PAS,A913454,JULIETA,JAVIER,ALONSO,,1988-04-25,2
CEN000181,censo2023,A,UY,UY,41126157,,,,JUAN,NOELIA,PEREIRA,,1973-04-05,1
CEN000182,censo2023,A,UY,UY,37882645,,,,PEDRO,AGUSTINA,VELAZQUEZ,ALONSO,,1
CEN000183,censo2023,C,UY,UY,46456273,,,,SOFIA,,ALONSO,,1956-02-07,2
CEN000184,censo2023,A,AR,AR,,032,DNI,A719436,MARTIN,ANDREA,,MENDES,1954-11-18,1
CEN000185,censo2023,A,UY,UY,44448006,,,,GONZALO,PAULA,VELAZQUEZ,,1980-01-26,1
CEN000186,censo2023,A,UY,UY,45032313,,,,MATEO,INES,,,1984-05-08,1
CEN000187,censo2023,A,UY,UY,34235351,,,,JOAQUIN,NOELIA,,,1965-04-22,1
CEN000188,censo2023,A,UY,UY,42035416,,,,SOFIA,ANDREA,FERNANDEZ,,1999-07-29,2
CEN000189,censo2023,C,AR,AR,,032,DNI,R161401,INES,INES,RODRIGUEZ,,1996-06-06,2
CEN000190,censo2023,A,UY,UY,52748137,,,,CARLA,INES,SILVA,,1952-01-24,2
CEN000191,censo2023,A,UY,UY,40302123,,,,DIEGO,ELENA,,,1973-02-12,1
CEN000192,censo2023,C,BR,BR,,076,PAS,B906532,ANA,ANDREA,,,1992-07-25,2
CEN000193,censo2023,C,UY,UY,31791710,,,,ANDRES,JAVIER,MENDES,,1960-12-17,1
CEN000194,censo2023,A,UY,UY,53163868,,,,JOAQUIN,LUIS,PEREZ,,1951-09-09,1
CEN000195,censo2023,A,AR,AR,,032,DNI,A383186,SANTIAGO,,PEREZ,,1963-06-15,1
CEN000196,censo2023,C,UY,UY,59612354,,,,JULIETA,ANDREA,,,1995-05-21,2
CEN000197,censo2023,A,UY,UY,52869603,,,,VALENTINA,PAULA,PEREIRA,,1998-05-02,2
CEN000198,censo2023,A,UY,UY,39348725,,,,PEDRO,PAULA,,,2001-10-18,1
CEN000199,censo2023,C,UY,UY,50953664,,,,MARTIN,DAMIAN,SUAREZ,LOPEZ,1983-12-28,1
CEN000200,censo2023,B,UY,UY,45468273,,,,ELISA,CARLOS,,VELAZQUEZ,1958-02-10,2
CEN000201,censo2023,C,UY,UY,,,,,RUBEN,CARLOS,,RODRIGUEZ,1992-06-06,1
CEN000202,censo2023,A,UY,UY,38115006,,,,MARTIN,PAULA,CORREA,,1989-06-15,1
CEN000203,censo2023,C,UY,UY,56189431,,,,MICAELA,,ACOSTA,,1984-02-25,2
CEN000204,censo2023,A,AR,AR,,032,PAS,R616596,THIAGO,PAULA,,RUIZ,1970-04-14,1
CEN000205,censo2023,A,UY,UY,41526908,,,,SANTIAGO,PAULA,ALONSO,,2003-02-14,1
CEN000206,censo2023,A,UY,UY,30685812,,,,VALENTINA,NOELIA,TORRES,MARTINEZ,1958-05-27,2
CEN000207,censo2023,C,UY,UY,39990330,,,,GONZALO,LUIS,FERNANDEZ,,1983-08-20,1
CEN000208,censo2023,A,UY,UY,40266023,,,,INES,DAMIAN,,,1984-07-13,2
CEN000209,censo2023,A,UY,UY,37119389,,,,INES,,,,1952-06-17,2
CEN000210,censo2023,A,UY,UY,52302912,,,,LAURA,DAMIAN,SUAREZ,MENDES,2000-02-13,2
CEN000211,censo2023,A,UY,UY,37264801,,,,THIAGO,,DIAZ,,1965-01-06,1
CEN000212,censo2023,B,UY,UY,58549148,,,,FACUNDO,CARLOS,SUAREZ,,1965-10-02,1
CEN000213,censo2023,C,BR,BR,,076,DNI,R721648,LEONARDO,MAR,SOSA,,1956-06-02,1
CEN000214,censo2023,C,PY,PY,,600,PAS,Y211879,FLORENCIA,LUIS,GOMEZ,,1978-11-02,2
CEN000215,censo2023,C,UY,UY,31710813,,,,MICAELA,,ACOSTA,,1987-03-12,2
CEN000216,censo2023,A,UY,UY,42545167,,,,JULIETA,MAR,,,1974-11-19,2
CEN000217,censo2023,A,PY,PY,,600,PAS,Y712240,SANTIAGO,,MENDES,RODRIGUEZ,1981-02-12,1
CEN000218,censo2023,C,UY,UY,30375104,,,,PAOLA,BEATRIZ,SOSA,,1966-06-29,2
CEN000219,censo2023,A,UY,UY,38114577,,,,ELISA,DAMIAN,,,1969-10-24,2
CEN000220,censo2023,A,UY,UY,34224824,,,,LUCIA,,SUAREZ,FERNANDEZ,1963-02-18,2
CEN000221,censo2023,C,UY,UY,33529763,,,,MARTINA,AGUSTINA,ALONSO,,1951-12-12,2
CEN000222,censo2023,B,UY,UY,35108094,,,,FLORENCIA,INES,,MARTINEZ,1953-04-12,2
CEN000223,censo2023,A,UY,UY,39428287,,,,JULIETA,,CORREA,,1980-05-08,2
CEN000224,censo2023,A,UY,UY,45212007,,,,MATEO,MAR,RUIZ,,1984-08-22,1
CEN000225,censo2023,B,UY,UY,50670246,,,,JULIETA,EZEQUIEL,DIAZ,,,2
CEN000226,censo2023,A,UY,UY,48655694,,,,JUAN,NOELIA,SILVA,,1953-12-10,1
CEN000227,censo2023,A,UY,UY,47810155,,,,MARIA,,LOPEZ,,1968-12-13,2
CEN000228,censo2023,A,UY,UY,34663501,,,,MATEO,DAMIAN,SILVA,SUAREZ,1966-05-14,1
CEN000229,censo2023,C,UY,UY,47207656,,,,MATEO,ELENA,FERNANDEZ,,1974-10-18,1
CEN000230,censo2023,C,UY,UY,31097081,,,,MARIA,BELEN,PEREIRA,,1950-03-25,2
CEN000231,censo2023,C,BR,BR,,076,DNI,B794383,MARIA,ALEJANDRO,VELAZQUEZ,,1983-01-21,2
CEN000232,censo2023,A,UY,UY,48621997,,,,JUAN,BELEN,,,1960-01-24,1
CEN000233,censo2023,B,UY,UY,35341178,,,,LUCIA,NOELIA,,,1974-07-08,2
CEN000234,censo2023,A,UY,UY,35437814,,,,INES,DAMIAN,RODRIGUEZ,,1989-11-29,2
CEN000235,censo2023,A,UY,UY,35724478,,,,JULIETA,BELEN,CORREA,,1980-08-14,2
CEN000236,censo2023,C,UY,UY,37933471,,,,MARTIN,BELEN,,,1962-03-19,1
CEN000237,censo2023,A,UY,UY,58459058,,,,MARIA,AGUSTINA,MENDES,,1981-07-30,2
CEN000238,censo2023,A,UY,UY,58759305,,,,PAOLA,ALEJANDRO,MARTINEZ,ALONSO,1958-11-24,2
CEN000239,censo2023,A,UY,UY,37270085,,,,MICAELA,ALEJANDRO,RAMIREZ,LOPEZ,2003-03-27,2
CEN000240,censo2023,C,UY,UY,33719944,,,,SOFIA,CARLOS,,,1994-01-16,2
CEN000241,censo2023,A,UY,UY,48738342,,,,NOELIA,,,,2005-05-24,2
CEN000242,censo2023,A,UY,UY,59282244,,,,FACUNDO,ALEJANDRO,LOPEZ,MARTINEZ,1951-12-03,1
CEN000243,censo2023,B,AR,AR,,032,PAS,R102380,JOAQUIN,,CORREA,,1994-10-07,1
CEN000244,censo2023,A,UY,UY,32777022,,,,FACUNDO,CARLOS,RODRIGUEZ,,1989-07-11,1
CEN000245,censo2023,A,UY,UY,31385031,,,,ELISA,EZEQUIEL,,,1977-11-24,2
CEN000246,censo2023,A,UY,UY,38369355,,,,RUBEN,BELEN,,,1952-11-22,1
CEN000247,censo2023,A,UY,UY,37632487,,,,NICOLAS,MAR,TORRES,,1954-07-20,1
CEN000248,censo2023,A,UY,UY,36835953,,,,THIAGO,EZEQUIEL,,RODRIGUEZ,1962-09-24,1
CEN000249,censo2023,A,UY,UY,58728736,,,,LUCIA,DAMIAN,ALONSO,,1976-02-13,2
CEN000250,censo2023,A,UY,UY,39844346,,,,VALENTINA,DAMIAN,,,1983-12-30,2
CEN000251,censo2023,A,UY,UY,46530739,,,,MARTIN,ALEJANDRO,RODRIGUEZ,,1989-03-03,1
CEN000252,censo2023,A,UY,UY,40346164,,,,RUBEN,DAMIAN,SOSA,,1992-07-18,1
CEN000253,censo2023,A,UY,UY,40717900,,,,FACUNDO,,RUIZ,,1955-03-01,1
CEN000254,censo2023,A,UY,UY,54670234,,,,THIAGO,MAR,,,1980-08-21,1
CEN000255,censo2023,A,UY,UY,57533997,,,,MICAELA,ANDREA,CORREA,,1991-08-16,2
