id_unico,id_pais_documento,id_tipo_documento,documento,nombres,apellidos,fecha_nacimiento,id_sexo
RRAA000042,858,1,30542570,MARTIN ELENA,CORREA,1992-12-19,1
RRAA000043,032,9,AR439458,PAOLA,CORREA ACOSTA,1989-08-12,2
RRAA000044,858,1,52922849,DIEGO JAVIER,TORRES,1953-10-22,1
RRAA000045,858,1,50384529,GONZALO CARLOS,FERNANDEZ SOSA,2000-11-29,1
RRAA000046,858,1,31996357,GONZALO BELEN,SOSA,1959-02-19,1
RRAA000047,858,1,32868022,RUBEN PAULA,SUAREZ MARTINEZ,1988-01-31,1
RRAA000048,858,1,32622074,ANA MAR,SOSA,1955-12-04,2
RRAA000049,032,9,AR484706,VALENTINA ELENA,VELAZQUEZ MENDEZ,1970-08-11,2
RRAA000050,858,1,36960630,ANDRES INES,SOSA,1994-04-08,1
RRAA000051,858,1,52731016,JUAN PAULA,ACOSTA,1958-06-20,1
RRAA000052,858,1,38300606,MARTIN,MARTINEZ,2005-05-18,1
RRAA000053,858,1,37643823,SOFIA INES,LOPEZ,1972-07-05,2
RRAA000054,858,1,41725781,CARLA PAULA,FERNANDEZ,1976-05-04,2
RRAA000055,858,1,47725938,MATEO MAR,TORRES,1998-01-05,1
RRAA000056,858,1,39230828,FLORENCIA ELENA,RAMIREZ PEREIRA,1963-09-15,2
RRAA000057,600,9,PY188006,RUBEN DAMIAN,ACOSTA,2000-02-09,1
RRAA000058,862,9,VE269028,RUBEN BELEN,CORREA MARTINEZ,1973-10-17,1
RRAA000059,858,1,47412785,LUCIA,LOPEZ,1952-12-26,2
RRAA000060,858,1,33483520,VALENTINA BELEN,GOMEZ BENITEZ,1980-06-18,2
RRAA000061,858,1,32001267,ANA ELNEA,SUARZE MARTINEZ,1991-05-22,2
RRAA000062,858,1,40501096,LUCIA CARLOS,GOMZE,1968-03-30,2
RRAA000063,858,1,30565825,NICOLAS,MARTINEZ ACOSTA,1966-04-09,1
RRAA000064,858,1,40847838,DIEGO MAR,ACOSTA,1985-10-19,1
RRAA000065,858,1,42193611,JOAQUIN ELENA,PEREIRA PEREZ,1998-01-10,1
RRAA000066,858,1,37498635,JOAQUIN DAMIAN,RAMIREZ RUIZ,2002-11-23,1
RRAA000067,076,9,BR641618,NICOLAS BELEN,SURAEZ,1974-10-07,1
RRAA000068,858,1,32251833,JUAN INES,VELAZQUEZ,1959-06-11,1
RRAA000069,858,1,46240323,PEDRO INES,LOPEZ,1962-07-09,1
RRAA000070,858,1,34687075,ANDRES PAULA,ACOSTA,1982-12-08,1
RRAA000071,600,9,PY248276,DEIGO MAR,FERNANDEZ,1968-12-07,1
RRAA000072,858,1,58744581,MARTIN PAULA,VELZAQUEZ,1961-02-17,1
RRAA000073,858,1,53171504,LAURA PAULA,RAMIREZ,1990-02-03,2
RRAA000074,858,1,33090859,MARTIN CARLOS,LOPEZ,1994-04-13,1
RRAA000075,858,1,35014336,ANDRES MAR,PERERIA,1969-02-16,1
RRAA000076,858,1,40646958,FLORENCIA MAR,MARTINEZ,1968-10-17,2
RRAA000077,858,1,31855039,LUCIA JAVIER,VELZAQUEZ DIAZ,1981-04-02,2
RRAA000078,600,9,PY575986,JUAN JAVIER,SOSA,1961-02-24,1
RRAA000079,858,1,45682287,JOAQUIN INES,LOPEZ,1974-08-19,1
RRAA000080,858,1,59827921,FLORENCIA BELEN,VELAZQUEZ,1962-09-26,2
RRAA000081,858,1,57846019,LUCIA JAVIER,MARTINEZ VELAZQUEZ,1956-12-29,2
RRAA000082,032,9,AR765601,PEDRO LUIS,VELAZQUEZ SOSA,1956-01-01,1
RRAA000083,858,1,41396340,JOAQUIN PAULA,RODRIGUEZ,1953-06-27,1
RRAA000084,858,1,36791558,LAURA BEELN,MARTINEZ,1968-05-24,2
RRAA000085,858,1,40137308,GOZNALO INES,SILVA,1954-01-10,1
RRAA000086,858,1,31796761,LEONARDO ELENA,ACOSTA,1955-12-14,1
RRAA000087,858,1,35561638,ANDRES JAVIER,RODRIGUZE,1982-05-26,1
RRAA000088,858,1,32248486,MATEO,RODRIGUEZ,1984-04-25,1
RRAA000089,858,1,47945696,JULIETA JAVIER,SOSA MARTINEZ,1991-05-26,2
RRAA000090,858,1,32896149,JOAQUIN MAR,RODRIGUEZ,1977-01-05,1
RRAA000091,858,1,52669064,LAURA ELENA,SILVA,1968-05-26,2
RRAA000092,858,1,45673507,DIEGO DAMIAN,FERNANDEZ TORRES,1980-02-22,1
RRAA000093,858,1,44105130,DIEGO MAR,LOPEZ,1961-09-02,1
RRAA000094,858,1,40328993,ANDRES JAVIER,ACOSTA,1958-01-30,1
RRAA000095,858,1,56012967,GONZALO JAVIER,PEREIRA LOPEZ,1965-08-11,1
RRAA000096,858,1,57631708,VALENTINA CARLOS,CROREA,1956-07-18,2
RRAA000097,858,1,37248035,JOAQUIN LUIS,RAMIREZ,1975-09-18,1
RRAA000098,076,9,BR034083,FLORENCIA MAR,RODRIGUEZ,1965-02-20,2
RRAA000099,858,1,40270911,LUCIA LUIS,SOSA,1956-11-05,2
RRAA000100,858,1,49664993,GONZALO JAVIER,ALOSNO,1999-04-03,1
RRAA000101,858,1,58519692,PAOLA NOELIA,MENDEZ,1953-05-19,2
RRAA000102,858,1,42515100,FLORENCIA ELENA,ALOSNO,1955-07-06,2
RRAA000103,858,1,58256819,GONZALO ELENA,FERNANDEZ,1987-04-17,1
RRAA000104,858,1,49619627,LEONARDO DAMIAN,DIAZ,1972-09-26,1
RRAA000105,858,1,52458019,ANDRES MAR,SILVA,1988-04-04,1
RRAA000106,076,9,BR571375,GONZALO LUIS,BENITEZ,1960-08-05,1
RRAA000107,032,9,AR364338,GONZLAO LUIS,GOMEZ,1967-04-29,1
RRAA000108,858,1,56362397,JOAQUIN BELEN,RODRIGUEZ,1950-04-27,1
RRAA000109,858,1,56186505,FLORENCIA ELENA,GOMEZ,1997-03-07,2
RRAA000110,858,1,49708520,MARTIN JAVIER,DIAZ,1993-01-21,1
RRAA000111,858,1,47390998,ANA BELEN,RODRIGUEZ RAMIREZ,1961-11-08,2
RRAA000112,858,1,39938372,MARTIN CARLOS,VELAZQUEZ CORREA,2005-03-22,1
RRAA000113,032,9,AR981787,SOFIA MAR,RAMIREZ,2006-08-29,2
RRAA000114,858,1,55740911,LEONARDO MAR,ACOSTA,1965-08-03,1
RRAA000115,858,1,40836483,LAURA LUIS,PEREZ,1981-07-24,2
RRAA000116,076,9,BR188796,JOAQUIN NOELIA,CORERA,1984-01-25,1
RRAA000117,858,1,30053191,ANA LUIS,RUIZ,1988-07-24,2
RRAA000118,858,1,59140487,JULIETA ELENA,FERNANDEZ,1969-04-04,2
RRAA000119,858,1,34812719,RUBEN PAULA,MARTNIEZ,1976-01-21,1
RRAA000120,858,1,54095251,PAOLA NOELIA,SIVLA,1998-07-18,2
RRAA000121,858,1,,GONZALO,GOMEZ,2002-03-18,1
RRAA000122,858,1,30880175,LEONADRO JAVIER,TORRES,1978-01-02,1
RRAA000123,858,1,52352087,ANDRES MAR,LOPEZ PEREIRA,2004-10-12,1
RRAA000124,858,1,46083907,VALENTINA DAMIAN,VELAZQUEZ SUAREZ,1962-02-18,2
RRAA000125,858,1,49974096,ANA JAVIER,ALONSO,1966-10-28,2
RRAA000126,858,1,35659518,RUBEN DAMIAN,BENITEZ,1957-01-30,1
RRAA000127,858,1,53542719,JOAQUIN CARLOS,SOSA,1987-06-24,1
RRAA000128,858,1,58557673,MARIA CARLOS,ALONSO ACOSTA,1979-03-11,2
RRAA000129,858,1,30085860,MARIA INES,VELAZQUEZ RUIZ,1981-09-16,2
RRAA000130,858,1,44911057,LAURA,VELAZQUEZ,2000-11-13,2
RRAA000131,858,1,49358246,RUBEN CARLOS,ACOSTA,1988-09-30,1
RRAA000132,858,1,53016101,SOFIA MAR,RUIZ,1973-03-04,2
RRAA000133,858,1,35054581,MARIA PAULA,FERNANDEZ,1982-05-21,2
RRAA000134,858,1,53535342,PEDRO INES,SUAREZ,1960-02-04,1
RRAA000135,858,1,36121692,LUCIA ELENA,PEREZ,1961-03-26,2
RRAA000136,858,1,56499173,GONZALO PAULA,TORRES SILVA,1954-10-31,1
RRAA000137,858,1,59805827,RUBEN BELEN,TORRES,2006-06-07,1
RRAA000138,858,1,50518701,MARIA NOELIA,RODRIGUEZ,1995-03-29,2
RRAA000139,858,1,59769681,NICOLAS ELENA,FERNANDEZ,1986-08-07,1
RRAA000140,858,1,,PAOLA ELENA,ACOSTA,2000-06-07,2
RRAA000141,600,9,PY434465,VALENTINA ELENA,LOPEZ DIAZ,1997-12-13,2
RRAA000142,076,9,BR982655,MARIA ELENA,PEREIRA,1987-06-27,2
RRAA000143,032,9,AR720363,MARTIN DAMIAN,SUAREZ,1995-03-19,1
RRAA000144,032,9,AR074894,RUBEN DAMIAN,PEREIRA SOSA,1979-02-16,1
RRAA000145,858,1,38173837,JULIETA MAR,TORRES,1967-11-09,2
RRAA000146,076,9,BR809233,LUCIA LUIS,BENITEZ,1953-01-08,2
RRAA000147,858,1,31719121,PEDRO BELEN,PEREZ,1955-12-14,1
RRAA000148,858,1,46737975,MICAELA,ALONSO MARTINEZ,1965-04-05,2
RRAA000149,858,1,45490010,VALENTINA DAMIAN,FERNANDEZ,1966-11-05,2
RRAA000150,858,1,51359600,LEONADRO,GOMEZ ALONSO,1994-02-20,1
RRAA000151,858,1,45477175,JUAN JAVIER,PERIERA,1986-07-19,1
RRAA000152,858,1,31354388,SOFIA ELENA,VELAZQUEZ,1968-08-01,2
RRAA000153,858,1,49794662,LOENARDO INES,ACOSAT ACOSTA,1962-06-15,1
RRAA000154,858,1,46207458,LEONARDO LUIS,SOSA,1969-03-10,1
RRAA000155,862,9,VE693849,MARTIN INES,FERNANDEZ,1954-07-14,1
RRAA000156,858,1,30751837,PAOLA BELEN,PEREIRA,1986-01-06,2
RRAA000157,858,1,53518995,FLORENCIA NOELIA,ALONSO RUIZ,1999-09-27,2
RRAA000158,858,1,50037610,MATEO ELENA,LOPEZ,1986-07-14,1
RRAA000159,858,1,52435730,PAOLA BELEN,CORREA,1994-06-04,2
RRAA000160,858,1,31158284,SOFIA MAR,MENDEZ DIAZ,1955-10-06,2
RRAA000161,858,1,49738794,PEDRO LUIS,FERNANDEZ,1966-03-03,1
RRAA000162,858,1,59092279,LEONARDO,DIAZ,1956-08-04,1
RRAA000163,858,1,38472557,FLORENCIA ELENA,PEREIRA,1979-03-17,2
RRAA000164,858,1,35691488,JUAN DAMIAN,PEREZ,1969-05-05,1
RRAA000165,858,1,45933875,JULIETA,RAMIREZ,1993-05-18,2
RRAA000166,858,1,42175393,GONZALO BELEN,TORRES TORRES,1987-02-27,1
RRAA000167,858,1,56990694,PEDRO BELEN,CORREA,1984-11-14,1
RRAA000168,858,1,39435456,VALENTINA DAMIAN,RAMIREZ PEREIAR,1963-05-06,2
RRAA000169,858,1,38769203,PEDRO BELEN,SILVA ACOSTA,1992-04-22,1
RRAA000170,858,1,32507319,LEONARDO ELENA,MENDEZ,1963-11-03,1
RRAA000171,032,9,AR112335,CARLA CARLOS,TORRES SAUREZ,1951-05-25,2
RRAA000172,858,1,43542016,MICAELA INES,RUIZ CORREA,1987-09-06,2
RRAA000173,858,1,,MICAELA ELENA,PEREZ,2002-02-24,2
RRAA000174,858,1,48828141,LUCIA ELENA,ALONSO MARTINEZ,1976-10-20,2
RRAA000175,858,1,42862193,PEDRO,GOMEZ,1953-01-22,1
RRAA000176,858,1,32769955,MARIA JAVIER,BENITEZ,2001-09-01,2
RRAA000177,858,1,42042359,LEONARDO INES,BENITEZ SOSA,2001-07-24,1
RRAA000178,858,1,51527897,PAOLA,FERNANDEZ CORREA,1972-04-19,2
RRAA000179,862,9,VE111399,ANA LUIS,TORRES,1956-03-08,2
RRAA000180,858,1,36652633,MARIA,CORREA,1963-08-20,2
RRAA000181,858,1,,RUBEN PAULA,GOMEZ,1953-07-30,1
RRAA000182,600,9,PY244093,FLORENCIA PAULA,LOPEZ,1963-09-14,2
RRAA000183,858,1,40649704,LAURA NOELIA,PEREIRA,2003-06-17,2
RRAA000184,858,1,46018290,JOAQUIN NOELIA,BENITEZ,1976-10-06,1
RRAA000185,858,1,52085451,LEONARDO LUIS,BENITEZ,1968-06-02,1
RRAA000186,032,9,AR710982,LEONAROD ELENA,PEREIRA,1960-10-10,1
RRAA000187,858,1,55745825,FLORENCIA MAR,FERNANDEZ,1973-09-30,2
RRAA000188,600,9,PY144407,SOFIA DAMIAN,RODRIGUEZ,1955-12-19,2
RRAA000189,858,1,47369891,LEONARDO PAULA,PEREZ ALONSO,2001-08-06,1
RRAA000190,858,1,33284780,RUBEN MAR,ALONSO PEREIRA,1954-07-17,1
RRAA000191,858,1,42220248,RUBEN BELEN,PEREIRA,1981-12-18,1
RRAA000192,858,1,48088245,LAURA LUIS,SUAREZ,1961-04-22,2
RRAA000193,858,1,36695940,JULIETA DAMIAN,RAMIREZ,1952-11-13,2
RRAA000194,858,1,36499108,CARLA LUIS,RODRIGUEZ,1960-10-12,2
RRAA000195,858,1,41352354,CARLA PAULA,RAMIREZ,2004-09-06,2
RRAA000196,032,9,AR804664,PEDRO BELEN,TORRES VELAZQUEZ,1997-05-16,1
RRAA000197,858,1,33989580,LEONARDO JAVIER,CORREA,1951-04-29,1
RRAA000198,862,9,VE277844,GONZALO CARLOS,MENDEZ,1982-05-01,1
RRAA000199,858,1,45717517,LAURA LUIS,RODRIGUEZ LOPEZ,1977-04-07,2
RRAA000200,858,1,39847473,LEONARDO INES,ACOSTA,1999-03-31,1
RRAA000201,858,1,53968244,CARLA ELENA,RAMIREZ DIAZ,2006-11-23,2
RRAA000202,858,1,52286494,LEONARDO PAULA,MENDEZ,1957-11-16,1
RRAA000203,858,1,53507412,JULIETA,SUAREZ,1980-04-27,2
RRAA000204,858,1,52510879,MARIA,RUIZ MARTINEZ,1955-03-21,2
RRAA000205,858,1,32566453,DIEGO CARLOS,RODRGIUEZ,2005-01-10,1
RRAA000206,858,1,39531038,JOAQUIN CARLOS,ACOSTA,1958-11-09,1
RRAA000207,600,9,PY758949,JOAQUIN BELEN,ALONSO,1968-05-19,1
RRAA000208,858,1,44816117,LUCIA DAMIAN,ACOSTA ACOSTA,1983-04-22,2
RRAA000209,858,1,35515829,FLORENCIA BELEN,TORRES,1996-06-01,2
RRAA000210,858,1,55091966,SOFIA ULIS,FERNANDEZ,1990-08-17,2
RRAA000211,858,1,57561534,JUAN DAMIAN,FERNANDEZ,2005-11-14,1
RRAA000212,858,1,,RUBEN LUIS,PEREZ CORREA,2001-03-13,1
RRAA000213,858,1,35916228,MARTIN MAR,MARTINEZ,1996-10-30,1
RRAA000214,858,1,41546641,GONZALO JAVIER,RODRIGUEZ,1978-12-21,1
RRAA000215,600,9,PY268220,ANDRES ELENA,LOPEZ,1999-05-18,1
RRAA000216,858,1,33004993,DIEGO NOELIA,MENDEZ GOMEZ,1976-05-04,1
RRAA000217,858,1,43225008,GONZALO JAVIER,SUAREZ,1956-02-13,1
RRAA000218,076,9,BR439662,FLORENCIA INES,SUAREZ,1983-03-02,2
RRAA000219,858,1,39702624,LEONARDO LUIS,RODRIGUEZ RODRIGUEZ,1983-05-13,1
RRAA000220,858,1,51918387,CARLA MAR,PEREZ,1996-03-26,2
RRAA000221,858,1,53793781,RUBEN NOLEIA,MARTINEZ,1994-01-29,1
RRAA000222,032,9,AR636654,GONZALO JAVIER,SUAREZ,1995-11-04,1
RRAA000223,858,1,54428154,DIEGO BELEN,DIAZ,1976-05-12,1
RRAA000224,600,9,PY175109,ANDRES JAVIER,DIZA,1960-07-12,1
RRAA000225,600,9,PY651020,LUCIA LUIS,BENITEZ,1963-04-15,2
RRAA000226,032,9,AR394866,VALENTINA CARLOS,DIAZ,1983-09-25,2
RRAA000227,858,1,42194357,JAOQUIN PAULA,GOMEZ SOSA,1958-01-07,1
RRAA000228,858,1,53575213,MICAELA BELEN,MENDEZ MARTINEZ,1989-11-25,2
RRAA000229,858,1,46066029,JUAN JAVIER,PEREIRA,1971-07-01,1
RRAA000230,858,1,36350623,MARIA ELENA,ACOSTA ALONSO,2001-11-20,2
RRAA000231,858,1,36242407,LEONARDO LUIS,PEREIRA,1989-02-07,1
RRAA000232,858,1,32478486,FLORENCIA DAMIAN,ACOSTA,1954-02-03,2
RRAA000233,076,9,BR926388,JOAQUIN CARLOS,TORRES,1998-12-20,1
RRAA000234,858,1,44003220,DIEGO ELENA,MENDEZ,1994-01-02,1
RRAA000235,858,1,30731485,VALENTINA JAVIER,PEREIRA CORREA,1996-07-09,2
RRAA000236,858,1,39612789,DIEGO ELENA,SOSA,1995-02-28,1
RRAA000237,858,1,43114101,MATEO JAVIER,SUAREZ ALONSO,1972-11-10,1
RRAA000238,600,9,,DIEGO JAVIER,PEREIRA,1960-07-06,1
RRAA000239,858,1,36190253,PAOLA PUALA,MENDEZ SOSA,1957-04-09,2
RRAA000240,858,1,51529876,FLORENCIA JAVIER,GOMEZ,1955-03-07,2
RRAA000241,858,1,39842206,LUCIA LUIS,LOPEZ FERNANDEZ,1982-10-27,2
RRAA000242,858,1,50602922,JUAN INES,RAMIREZ MARTINEZ,1997-05-22,1
RRAA000243,600,9,PY739078,SOFIA INES,PEREIRA SUAREZ,1985-12-15,2
RRAA000244,032,9,AR461775,LUCIA NOELIA,SOSA,1968-04-20,2
RRAA000245,032,9,AR447725,JOAQUIN MAR,RMAIREZ RUIZ,1983-08-01,1
RRAA000246,858,1,57132854,NICOLAS PAULA,FERNANDEZ CORREA,1973-11-13,1
RRAA000247,858,1,58210452,VALENTINA JAVIER,FERNANDEZ,1968-04-09,2
RRAA000248,858,1,56139181,JULIETA,ALONSO,1983-08-19,2
RRAA000249,600,9,PY382543,ANA BELEN,MENDEZ,1999-12-17,2
RRAA000250,858,1,35420774,MATEO MAR,LOPEZ,1965-05-12,1
RRAA000251,858,1,50889913,JUA NCARLOS,LOPEZ,1957-11-23,1
RRAA000252,858,1,43044836,ANA LUIS,SOSA CORREA,1954-06-05,2
RRAA000253,600,9,PY650095,MARTIN LUIS,ALONSO VELAZQUEZ,1987-05-15,1
RRAA000254,858,1,34457796,JOAQUIN DAMIAN,DIAZ,1991-04-17,1
RRAA000255,858,1,52984204,MARTIN,FERNANDEZ,1999-11-22,1
RRAA000256,858,1,46364636,LUCIA DAMIAN,RAMIREZ DIAZ,1972-11-24,2
RRAA000257,858,1,31516820,JUAN,DIAZ,1984-08-13,1
RRAA000258,858,1,44258575,ANDRES,MARTINEZ,1952-02-12,1
RRAA000259,858,1,38052897,MARTIN CARLOS,DIAZ,1983-01-29,1
RRAA000260,032,9,AR193572,MARTIN DAMIAN,SILVA,1955-06-16,1
RRAA000261,858,1,33303592,PAOLA MAR,LOPEZ RODRIGUEZ,1999-04-17,2
RRAA000262,858,1,41315623,LAURA LUIS,MARITNEZ,1963-05-14,2
RRAA000263,858,1,33641301,DIEGO JAVIER,PEREZ,1984-05-10,1
RRAA000264,858,1,35760127,JUAN ELENA,RUIZ,1967-05-04,1
RRAA000265,858,1,52034354,MICAELA PAULA,SOSA EFRNANDEZ,1957-06-18,2
RRAA000266,858,1,47297599,LUCIA PAULA,RUIZ BENITEZ,1952-01-29,2
RRAA000267,858,1,59097594,MICAELA CARLOS,SILVA SUAREZ,1988-12-06,2
RRAA000268,858,1,47937895,JOAQUIN NOELIA,PEREZ PEREZ,1993-06-13,1
RRAA000269,858,1,58216662,VALENTINA CARLOS,TORRES,1958-05-28,2
RRAA000270,858,1,53052020,JOAQUIN,DIAZ SUAREZ,1965-11-17,1
RRAA000271,858,1,56038762,LEONARDO CARLOS,MARTINEZ LOPEZ,1961-11-16,1
RRAA000272,858,1,33555197,NICOLAS BELEN,SOSA,1963-10-26,1
RRAA000273,858,1,45400872,VALENTINA NOELIA,DIAZ SUAREZ,1977-09-08,2
RRAA000274,858,1,34313988,LUCIA BELEN,SILVA SILVA,1975-12-14,2
RRAA000275,032,9,AR788506,PEDRO LUIS,RAMIREZ ALONSO,1977-08-23,1
RRAA000276,858,1,45676451,MATEON OELIA,ACOSTA,1978-12-07,1
RRAA000277,858,1,34807216,DIEGO BELEN,RAMIREZ,1980-12-21,1
RRAA000278,858,1,34976913,ANDRES INES,MARTINEZ TORRES,1978-05-21,1
RRAA000279,858,1,40246075,JULIETA INES,RAMIREZ,1968-01-26,2
RRAA000280,032,9,AR718106,CARLA NOELIA,CORREA PEREZ,1956-04-10,2
RRAA000281,858,1,56169428,GONZALO ELENA,RUIZ TORRES,1967-07-23,1
RRAA000282,076,9,BR932269,NICOLAS INES,MARTINEZ,1957-07-02,1
RRAA000283,858,1,42531660,LCUIA MAR,SOSA,1963-04-10,2
RRAA000284,858,1,51125150,PAOLA JAVIER,ACOSTA DIAZ,1951-06-20,2
RRAA000285,858,1,36539184,LUCIA CARLOS,BENTIEZ,1964-07-01,2
RRAA000286,032,9,AR867377,VALENTINA ELENA,MARTINEZ,2000-03-22,2
RRAA000287,858,1,30961652,JUAN LUIS,MARTINEZ RUIZ,1991-09-20,1
RRAA000288,858,1,40304140,PEDRO PAULA,LOPEZ,1993-10-02,1
RRAA000289,858,1,31395719,JUAN EBLEN,LOPEZ,1993-11-17,1
RRAA000290,858,1,53909385,JULIETA LUIS,RODRIGUZE,1965-10-30,2
RRAA000291,858,1,31385017,LEONARDO CARLOS,SILVA,1983-11-12,1
RRAA000292,858,1,52891101,CARLA,ACOSTA GOMEZ,1971-06-02,2
RRAA000293,858,1,45680161,VALENTINA DAMIAN,SOSA,1965-03-22,2
RRAA000294,858,1,41635660,ANDRES,RUIZ FERNANDEZ,2004-09-10,1
RRAA000295,858,1,54235727,ANDRES,GOMEZ,1983-11-18,1
RRAA000296,858,1,,RUBEN INES,RAMIREZ RODRIGUEZ,1952-02-27,1
RRAA000297,858,1,32224878,ANA INES,SILVA DIAZ,1997-01-17,2
RRAA000298,858,1,30596214,RUBEN MAR,GOMEZ PEREZ,1981-04-03,1
RRAA000299,858,1,43158452,PAOLA CARLOS,MARTINEZ MENDEZ,1980-10-14,2
RRAA000300,862,9,VE441505,CARLA JAVIER,RODRIGUEZ,1999-01-02,2
RRAA000301,858,1,37205782,MARIA CARLOS,FERNANDEZ CORREA,1966-07-01,2
RRAA000302,076,9,BR243777,JULIETA PAULA,TORRES,2002-11-28,2
RRAA000303,858,1,45949878,MATEO MAR,BENITEZ,1973-07-20,1
RRAA000304,858,1,45136821,LEONARDO ELENA,TORRES,2006-06-21,1
RRAA000305,858,1,43340585,JUAN LUIS,GOEMZ,1961-11-26,1
RRAA000306,858,1,56807285,JULIETA MAR,RUIZ,1968-03-11,2
RRAA000307,858,1,49341526,GONZALO INES,DIAZ MENDEZ,1991-02-10,1
RRAA000308,858,1,59499615,NICOLSA,MENDEZ LOPEZ,1961-02-04,1
RRAA000309,858,1,55084604,NICOLAS MAR,RAMIREZ,1965-08-04,1
RRAA000310,858,1,44819404,NICOLAS NOELIA,ACOSTA,1971-02-28,1
RRAA000311,858,1,35044605,NICOLAS NOELIA,PEREZ SUAREZ,1994-05-22,1
RRAA000312,858,1,56806744,MATEO CARLOS,ACOSTA VELAZQUEZ,1975-10-07,1
RRAA000313,858,1,49121693,PAOLA DAMIAN,MEDNEZ,1953-11-15,2
RRAA000314,862,9,VE393195,LUARA DAMIAN,CORREA,1963-09-10,2
RRAA000315,858,1,46911119,JAUN,RODRIGUEZ,1994-10-22,1
RRAA000316,858,1,58083454,MICAELA JAVIER,SOSA,1973-01-05,2
RRAA000317,076,9,BR124280,PEDRO MAR,TORRES,1954-05-17,1
RRAA000318,858,1,45533943,LEONARDO MAR,PEREZ GOMEZ,1995-08-25,1
RRAA000319,858,1,56115705,VALENTINA JAVIER,TORRES,2002-01-09,2
RRAA000320,858,1,58942691,LAURA JAVIER,RODRIGUEZ,1977-01-28,2
RRAA000321,858,1,39423559,GONZALO JAVIER,ALONSO,1971-05-16,1
RRAA000322,858,1,51434598,FLOERNCIA,PEREIRA CORREA,1973-06-10,2
RRAA000323,858,1,32850043,PEDRO ELENA,SUAREZ,1988-02-22,1
RRAA000324,858,1,34173788,CARLA LUIS,ACOSTA VELAZQUEZ,1951-06-03,2
